采集时间,输入,BV号,标题,UP主,UP主mid,上传时间,总播放量,点赞数,投币数,收藏数,转发数,评论数,弹幕数,在线人数,每小时播放增量,是否起量
2026-03-22 02:02:21,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,15,0,0,1,1,0,0,1,0,False
2026-03-22 02:03:03,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,15,0,0,1,1,0,0,2,0,False
2026-03-22 02:05:35,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,15,0,0,1,1,0,0,1,0,False
2026-03-22 03:05:40,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,25,0,0,1,1,0,0,2,10,False
2026-03-22 04:05:45,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,37,0,0,1,1,0,0,2,12,False
2026-03-22 05:05:49,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,47,0,0,1,1,0,0,1,10,False
2026-03-22 06:05:54,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,55,0,0,1,1,0,0,1,8,False
2026-03-22 07:05:58,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,65,0,0,1,1,0,0,1,10,False
2026-03-22 08:06:03,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,76,0,0,1,1,0,0,1,11,False
2026-03-22 09:06:07,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,92,0,0,1,1,0,0,3,16,False
2026-03-22 10:06:12,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,102,0,0,1,1,0,0,1,10,False
2026-03-22 11:06:16,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,117,0,0,1,1,0,0,1,15,False
2026-03-22 12:06:21,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,131,0,0,1,1,0,0,2,14,False
2026-03-22 13:06:25,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,139,0,0,1,1,0,0,2,8,False
2026-03-22 14:06:30,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,154,0,0,1,1,0,0,2,15,False
2026-03-22 15:06:35,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,172,0,0,1,1,0,0,2,18,False
2026-03-22 16:06:39,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,190,0,0,1,1,0,0,1,18,False
2026-03-22 17:06:44,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,215,0,0,1,1,0,0,2,25,False
2026-03-22 18:06:49,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,264,0,0,1,1,0,0,2,49,False
2026-03-22 19:06:53,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,301,0,0,1,1,0,0,2,37,False
2026-03-22 22:05:47,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,359,0,0,1,1,0,0,1,58,False
2026-03-22 23:05:52,https://www.bilibili.com/video/BV1L8APzFEka/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,368,0,0,1,1,0,0,2,9,False
2026-03-22 00:01:58,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,398,0,0,9,0,0,0,1,0,False
2026-03-22 01:02:01,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,408,0,0,9,0,0,0,1,10,False
2026-03-22 02:02:21,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,415,0,0,9,0,0,0,1,7,False
2026-03-22 02:03:03,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,415,0,0,9,0,0,0,2,0,False
2026-03-22 02:05:35,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,415,0,0,9,0,0,0,1,0,False
2026-03-22 03:05:40,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,424,0,0,9,0,0,0,1,9,False
2026-03-22 04:05:45,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,433,0,0,9,0,0,0,1,9,False
2026-03-22 05:05:49,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,442,0,0,9,0,0,0,1,9,False
2026-03-22 06:05:54,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,450,0,0,9,0,0,0,1,8,False
2026-03-22 07:05:58,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,459,0,0,9,0,0,0,1,9,False
2026-03-22 08:06:03,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,468,0,0,9,0,0,0,1,9,False
2026-03-22 09:06:07,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,477,0,0,9,0,0,0,1,9,False
2026-03-22 10:06:12,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,486,0,0,9,0,0,0,1,9,False
2026-03-22 11:06:16,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,496,0,0,9,0,0,0,1,10,False
2026-03-22 12:06:21,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,505,0,0,9,0,0,0,2,9,False
2026-03-22 13:06:25,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,513,0,0,9,0,0,0,2,8,False
2026-03-22 14:06:30,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,528,0,0,9,0,0,0,1,15,False
2026-03-22 15:06:35,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,546,0,0,9,0,0,0,2,18,False
2026-03-22 16:06:39,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,564,0,0,9,0,0,0,2,18,False
2026-03-22 17:06:44,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,582,0,0,9,0,0,0,1,18,False
2026-03-22 18:06:49,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,599,0,0,9,0,0,0,1,17,False
2026-03-22 19:06:53,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,617,0,0,9,0,0,0,2,18,False
2026-03-22 22:05:47,https://www.bilibili.com/video/BV1wH6uBhEYF/?autoplay=1&muted=0&vd_source=6376e07ec49eec7d49dd941ef312f95d,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,623,0,0,9,0,0,0,1,6,False
