采集时间,输入,原始顺序,BV号,标题,UP主,上传时间,总播放量,点赞数,投币数,收藏数,转发数,评论数,弹幕数,在线人数
2026-05-15 00:58:16,BV1EGBCBmEo8,0,BV1EGBCBmEo8,【杨博文｜4K高清直拍】魅魔级别的《Manta》舞台，看博文如何一yeah封神,关键时刻来瓶尖叫,2025-12-27 23:15:44,724427,11685,9210,10167,1074,918,2285,1
2026-05-15 00:58:16,BV1A5vkB2E1k,1,BV1A5vkB2E1k,【杨博文】Hey Mama六机位纯舞直拍丨15岁舞台统治者的诞生，四代主舞燃炸全场！,Kismet丨杨博文,2025-12-28 22:28:16,2381555,57108,41827,42193,6777,11563,18747,6
2026-05-15 00:58:16,BV1eQ6bBrE5m,2,BV1eQ6bBrE5m,【杨博文】四代来了一个表管天才<闭嘴跳舞>4k精剪直拍,61strawberry,2026-02-01 20:51:17,112458,6630,852,6554,489,49,19,1
2026-05-15 00:58:16,BV1XA6nBGEPV,3,BV1XA6nBGEPV,【4K精剪】希区考克 作品152 | 杨博文直拍 | 260131,underthepoplar,2026-02-01 00:23:17,1902562,21616,21058,18569,4175,3898,6693,1
2026-05-15 00:58:16,BV1e364BwE63,4,BV1e364BwE63,【杨博文】Why Why Why竖屏4k focus,meetsummer丨杨博文,2026-02-01 19:33:16,50908,685,322,902,495,19,14,3
2026-05-15 00:58:16,BV1bi62B1EhS,5,BV1bi62B1EhS,【杨博文丨四机位4K直拍】谁懂啊！群舞里的绝对焦点，《Manta》的亮眼表现！,houRlyRambo丨杨博文,2026-01-10 19:15:19,971266,16233,10899,15647,1425,2353,1981,3
2026-05-15 00:58:16,BV1dGR9BLERW,6,BV1dGR9BLERW,自测test,我要在森林里盖房子,2026-05-09 20:44:51,584,3,0,0,1,0,0,1
2026-05-15 00:58:16,BV1Pb64BSELU,7,BV1Pb64BSELU,【杨博文】此男就这样一步一步扭进我心里 冬季版限定白色恋人袭来｜Whywhywhy 4k横屏直拍,游园会_杨博文,2026-02-01 18:52:15,18980,4184,802,3181,35,14,51,1
2026-05-15 00:58:16,BV1p6eGzVE4p,8,BV1p6eGzVE4p,「杨博文｜Go In Blind」丝带一拿，爽感Max,Astra_杨博文,2025-08-20 22:04:32,7902,583,145,379,12,4,23,1
2026-05-15 00:58:16,BV1qbULBbE5U,9,BV1qbULBbE5U,【4K直拍】刷到杨博文跳《Lucifer》还不点进来看！！,Kismet丨杨博文,2025-11-21 21:26:08,193443,24980,2950,17790,273,100,272,1
2026-05-15 00:58:16,BV1C6x4zcEdC,10,BV1C6x4zcEdC,【杨博文｜4k舞台直拍】妈妈级别的Deja Vu看起来也太爽了吧,关键时刻来瓶尖叫,2025-10-04 22:30:53,22513,1511,179,1311,39,19,8,2
2026-05-15 00:58:16,BV1Xm61BEEnt,11,BV1Xm61BEEnt,【杨博文】致命诱惑<希区考克 作品152> 4k 竖版直拍 Focus,Roseate丨杨博文,2026-01-31 17:54:23,36761,7412,3370,2773,201,257,423,2
2026-05-15 00:58:16,BV18Ce3zpESm,12,BV18Ce3zpESm,独一份的清冷破碎感｜杨博文｜路灯下的小姑娘4K直拍,WIX99,2025-08-20 16:44:03,8729,875,157,516,45,40,19,2
2026-05-15 01:58:25,BV1EGBCBmEo8,0,BV1EGBCBmEo8,【杨博文｜4K高清直拍】魅魔级别的《Manta》舞台，看博文如何一yeah封神,关键时刻来瓶尖叫,2025-12-27 23:15:44,724498,11685,9210,10166,1076,918,2285,2
