采集时间,输入,原始顺序,BV号,标题,UP主,上传时间,总播放量,点赞数,投币数,收藏数,转发数,评论数,弹幕数,在线人数
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1M9ePzaELH/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288771177&round=1&index=0&windowIndex=0&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,0,BV1M9ePzaELH,「杨博文｜卡拉永远OK」突发舞台事故？我怎么没看见,Astra_杨博文,2025-08-19 22:15:30,794550,14025,4412,9454,1542,603,510,1
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1EGBCBmEo8/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288775170&round=1&index=1&windowIndex=1&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,1,BV1EGBCBmEo8,【杨博文｜4K高清直拍】魅魔级别的《Manta》舞台，看博文如何一yeah封神,关键时刻来瓶尖叫,2025-12-27 23:15:44,717565,11661,9197,10103,987,917,2285,4
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1A5vkB2E1k/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288779174&round=1&index=2&windowIndex=2&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,2,BV1A5vkB2E1k,【杨博文】Hey Mama六机位纯舞直拍丨15岁舞台统治者的诞生，四代主舞燃炸全场！,Kismet丨杨博文,2025-12-28 22:28:16,2370326,56917,41726,42030,6641,11520,18647,4
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1eQ6bBrE5m/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288783171&round=1&index=3&windowIndex=3&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,3,BV1eQ6bBrE5m,【杨博文】四代来了一个表管天才<闭嘴跳舞>4k精剪直拍,61strawberry,2026-02-01 20:51:17,104805,6513,828,6388,402,47,19,2
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1XA6nBGEPV/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288791171&round=1&index=5&windowIndex=5&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,4,BV1XA6nBGEPV,【4K精剪】希区考克 作品152 | 杨博文直拍 | 260131,underthepoplar,2026-02-01 00:23:17,1899962,21492,20966,18426,4079,3833,6639,1
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1e364BwE63/?spm_id_from=333.337.search-card.all.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,5,BV1e364BwE63,【杨博文】Why Why Why竖屏4k focus,meetsummer丨杨博文,2026-02-01 19:33:16,44335,664,310,825,408,17,14,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1s8BvBPEN5/?spm_id_from=333.337.search-card.all.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,6,BV1s8BvBPEN5,【杨博文｜4K舞台直拍】好运来祝你好运来～博文宝宝祝你新年好运来,关键时刻来瓶尖叫,2025-12-27 00:43:12,1871156,31923,16138,30241,2000,3746,4432,1
2026-05-11 00:57:57,https://www.bilibili.com/video/BV15M64BPEVo/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,7,BV15M64BPEVo,【杨博文】舞步是我最有力的武器 请调动所有感官和我一同所向披靡｜闭嘴跳舞4k横屏双机位直拍,游园会_杨博文,2026-02-01 20:09:30,43796,6944,1311,4384,51,38,152,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV18fFNzEEEy/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,8,BV18fFNzEEEy,【4K精剪杨博文】《闭嘴跳舞》全部人都来看我们主舞大人！,WILSON丨杨博文,2026-02-02 17:15:52,24515,4715,244,3415,5,20,5,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1X964BaEdi/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,9,BV1X964BaEdi,【杨博文】D！A！N！C！E！<闭嘴跳舞> 4k 竖版直拍 Focus,Roseate丨杨博文,2026-02-01 17:31:40,59744,15666,4131,5042,320,254,442,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1ac6aBVER8/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,10,BV1ac6aBVER8,【杨博文｜4K双机位直拍】《闭嘴跳舞》内娱竟有如此红丝绒般的唱跳舞台,Eternity丨杨博文,2026-02-02 09:56:33,56671,4845,498,3288,16,36,25,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1mJ64BREZY/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,11,BV1mJ64BREZY,【杨博文】闭嘴跳舞丨当主舞穿上西装就会得到,Kismet丨杨博文,2026-02-01 18:31:00,423897,28316,3286,20060,161,95,383,4
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1hVYCzuEih/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,12,BV1hVYCzuEih,【杨博文｜4K舞台直拍】居然养成系也能跳《Go in Blind》这么性感的舞台！丝带蒙眼被帅晕了,关键时刻来瓶尖叫,2025-08-17 20:00:51,858,86,27,38,2,5,7,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1wBarznEY6/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,13,BV1wBarznEY6,【杨博文4K直拍】两天量身白衣！白西服禁欲感拉满，白T清爽暴击，《GO IN BLIND》看不够！,houRlyRambo丨杨博文,2025-09-03 22:08:31,2669,332,138,154,13,13,13,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV152YezREze/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,14,BV152YezREze,简直主人级别 黑丝带一发入魂｜杨博文go in blind双机位横屏4k直拍,游园会_杨博文,2025-08-16 20:21:04,14183,2346,665,777,56,36,190,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV19vYqzfESu/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,15,BV19vYqzfESu,【杨博文｜4K舞台直拍】未成年爱豆挑战丝带蒙眼舞台Go in Blind效果如何！怎么能做到又帅又欲的,关键时刻来瓶尖叫,2025-08-16 23:05:44,9185,1056,54,960,5,3,1,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1p6eGzVE4p/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,16,BV1p6eGzVE4p,「杨博文｜Go In Blind」丝带一拿，爽感Max,Astra_杨博文,2025-08-20 22:04:32,6809,571,127,349,12,4,11,2
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1dGR9BLERW/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,17,BV1dGR9BLERW,自测test,我要在森林里盖房子,2026-05-09 20:44:51,249,3,0,1,0,0,0,3
2026-05-11 00:57:57,https://www.bilibili.com/video/BV1nZSMBJENh/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,18,BV1nZSMBJENh,蒙眼白衬衫火力全开｜杨博文｜Go in blind 4K直拍,WIX99,2025-11-27 16:15:05,23066,3167,295,1438,75,63,44,3
2026-05-11 01:58:10,https://www.bilibili.com/video/BV1M9ePzaELH/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288771177&round=1&index=0&windowIndex=0&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,0,BV1M9ePzaELH,「杨博文｜卡拉永远OK」突发舞台事故？我怎么没看见,Astra_杨博文,2025-08-19 22:15:30,794561,14025,4412,9455,1543,603,510,1
2026-05-11 01:58:10,https://www.bilibili.com/video/BV1EGBCBmEo8/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288775170&round=1&index=1&windowIndex=1&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,1,BV1EGBCBmEo8,【杨博文｜4K高清直拍】魅魔级别的《Manta》舞台，看博文如何一yeah封神,关键时刻来瓶尖叫,2025-12-27 23:15:44,717630,11661,9197,10103,987,917,2285,1
2026-05-11 01:58:10,https://www.bilibili.com/video/BV1A5vkB2E1k/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288779174&round=1&index=2&windowIndex=2&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,2,BV1A5vkB2E1k,【杨博文】Hey Mama六机位纯舞直拍丨15岁舞台统治者的诞生，四代主舞燃炸全场！,Kismet丨杨博文,2025-12-28 22:28:16,2370413,56920,41726,42033,6643,11521,18648,3
2026-05-11 01:58:10,https://www.bilibili.com/video/BV1eQ6bBrE5m/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288783171&round=1&index=3&windowIndex=3&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,3,BV1eQ6bBrE5m,【杨博文】四代来了一个表管天才<闭嘴跳舞>4k精剪直拍,61strawberry,2026-02-01 20:51:17,104878,6513,828,6388,404,47,19,1
2026-05-11 01:58:10,https://www.bilibili.com/video/BV1XA6nBGEPV/?auto_task=true&danmaku=0&dm=0&quality=1&t=1777288791171&round=1&index=5&windowIndex=5&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,4,BV1XA6nBGEPV,【4K精剪】希区考克 作品152 | 杨博文直拍 | 260131,underthepoplar,2026-02-01 00:23:17,1899981,21492,20966,18428,4081,3833,6639,2
2026-05-11 01:58:10,https://www.bilibili.com/video/BV1e364BwE63/?spm_id_from=333.337.search-card.all.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,5,BV1e364BwE63,【杨博文】Why Why Why竖屏4k focus,meetsummer丨杨博文,2026-02-01 19:33:16,44399,664,310,825,408,17,14,4
2026-05-11 01:58:10,https://www.bilibili.com/video/BV1s8BvBPEN5/?spm_id_from=333.337.search-card.all.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,6,BV1s8BvBPEN5,【杨博文｜4K舞台直拍】好运来祝你好运来～博文宝宝祝你新年好运来,关键时刻来瓶尖叫,2025-12-27 00:43:12,1871162,31924,16140,30243,2001,3746,4432,1
