采集时间,输入,BV号,标题,UP主,UP主mid,上传时间,总播放量,点赞数,投币数,收藏数,转发数,评论数,弹幕数,在线人数,每小时播放增量,是否起量
2026-04-09 00:39:16,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1113,0,0,9,0,0,0,1,0,False
2026-04-09 01:39:21,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1113,0,0,9,0,0,0,1,0,False
2026-04-09 02:39:26,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1113,0,0,9,0,0,0,1,0,False
2026-04-09 03:39:31,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1113,0,0,9,0,0,0,1,0,False
2026-04-09 04:39:36,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1113,0,0,9,0,0,0,1,0,False
2026-04-09 05:39:41,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1113,0,0,9,0,0,0,1,0,False
2026-04-09 06:39:46,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1113,0,0,9,0,0,0,1,0,False
2026-04-09 21:58:21,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1143,0,0,9,0,0,0,1,30,False
2026-04-09 22:58:24,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1153,0,0,9,0,0,0,1,10,False
2026-04-09 23:58:26,https://www.bilibili.com/video/BV1z26MBsEZe/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1z26MBsEZe,多网页自测5,白颜夕,4980992,2026-01-27 13:47:17,1161,0,0,9,0,0,0,1,8,False
2026-04-09 00:39:16,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,1144,0,0,9,0,0,0,1,0,False
2026-04-09 01:39:21,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,1144,0,0,9,0,0,0,1,0,False
2026-04-09 02:39:26,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,1144,0,0,9,0,0,0,1,0,False
2026-04-09 03:39:31,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,1144,0,0,9,0,0,0,1,0,False
2026-04-09 04:39:36,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,1144,0,0,9,0,0,0,1,0,False
2026-04-09 05:39:41,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,1144,0,0,9,0,0,0,1,0,False
